Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal;;Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal
brg180;66;151560;276510;189820;1046740;1950;;;;;;;;
brg180;67;161060;339600;187790;952970;1950;;;;;;;;
brg180;68;155890;286010;197740;1042270;1950;;;;;;;;
brg180;69;154390;276010;197740;1026830;1950;;;;;;;;
brg180;70;153150;309300;197710;1051770;1950;;;;;;;;
brg180;71;168330;271540;201180;1016860;1950;;;;;;;;
brg180;72;130030;282540;187740;1029770;1950;;;;;;;;
brg180;73;119210;263510;208790;1049810;1950;;;;;;;;
brg180;74;125850;275980;206680;1039800;1950;;;;;;;;
brg180;75;164830;349420;212180;1015410;1950;;;;;;;;
brg180;76;189180;276540;207710;956780;1950;;;;;;;;
brg180;77;53530;336450;212210;1035830;1950;;;;;;;;
brg180;78;158010;295890;197750;968450;1950;;;;;;;;
brg180;79;142590;261660;199820;966760;1950;;;;;;;;
brg180;80;129880;256510;197740;1094230;1950;;;;;;;;
brg180;81;141690;303100;197710;986760;1950;;;;;;;;
brg180;82;162880;274480;197740;1036330;1950;;;;;;;;
brg180;83;150570;263600;213210;965270;1950;;;;;;;;
brg180;84;141830;311950;197710;973210;1950;;;;;;;;
brg180;85;161880;241600;206710;1059790;1950;;;;;;;;
brg180;86;198670;311830;208740;969740;1950;;;;;;;;
brg180;87;143950;311830;197740;949760;1950;;;;;;;;
brg180;88;163870;296920;193280;998430;1950;;;;;;;;
brg180;89;174410;301450;200180;934280;1950;;;;;;;;
brg180;90;171140;304060;198760;1073290;1950;;;;;;;;
brg180;91;127430;310480;187770;915420;1950;;;;;;;;
brg180;92;137200;301980;197710;1094150;1950;;;;;;;;
brg180;93;170140;237160;198760;1036300;1950;;;;;;;;
brg180;94;133730;301890;207710;1036360;1950;;;;;;;;
brg180;95;137210;267570;207710;925400;1950;;;;;;;;
brg180;96;181590;316000;201210;955380;1950;;;;;;;;
brg180;97;120950;268160;197710;1067770;1950;;;;;;;;
brg180;98;131690;275950;207710;969850;1950;;;;;;;;
brg180;99;111580;279420;207710;964380;1950;;;;;;;;
brg180;100;165850;269570;183300;1002910;1950;;;;;;;;
brg180;101;192890;280510;200180;967850;1950;;;;;;;;
